
 ### Family: 1 -> DNA-binding protein

	 KPJ79159.1	DNA-binding protein
	 RMG07955.1	30S ribosomal protein S16
	 WP_068817854.1	30S ribosomal protein S16
	 KOR37597.1	30S ribosomal protein S16
	 WP_015192773.1	30S ribosomal protein S16
	 WP_013322191.1	30S ribosomal protein S16
	 WP_069967887.1	30S ribosomal protein S16
	 WP_068393680.1	30S ribosomal protein S16
	 WP_106258368.1	30S ribosomal protein S16
	 WP_162425296.1	30S ribosomal protein S16
	 WP_073607617.1	30S ribosomal protein S16
	 EDX73299.1	ribosomal protein S16
	 RNJ67069.1	30S ribosomal protein S16
	 WP_168571632.1	30S ribosomal protein S16
	 AFY81342.1	SSU ribosomal protein S16P
	 WP_006511797.1	30S ribosomal protein S16
	 WP_106287116.1	30S ribosomal protein S16
	 PZV25622.1	30S ribosomal protein S16
	 WP_012954187.1	30S ribosomal protein S16
	 WP_161825903.1	30S ribosomal protein S16
	 WP_015224606.1	30S ribosomal protein S16
	 WP_017304342.1	30S ribosomal protein S16
	 BAG48297.1	30S ribosomal protein S16
	 WP_006528478.1	30S ribosomal protein S16
	 WP_002780060.1	30S ribosomal protein S16
	 WP_146296163.1	30S ribosomal protein S16
	 WP_019504522.1	30S ribosomal protein S16
	 WP_124972499.1	30S ribosomal protein S16
	 WP_017295262.1	30S ribosomal protein S16
	 WP_107671289.1	30S ribosomal protein S16
	 OKH36045.1	30S ribosomal protein S16
	 WP_144868368.1	30S ribosomal protein S16
	 ERT09076.1	ribosomal protein S16
	 WP_015218063.1	30S ribosomal protein S16
	 WP_040228094.1	30S ribosomal protein S16
	 WP_046510788.1	30S ribosomal protein S16
	 OGS05587.1	30S ribosomal protein S16
	 WP_084053920.1	30S ribosomal protein S16
	 PKO07037.1	30S ribosomal protein S16
	 WP_049671449.1	30S ribosomal protein S16
	 WP_029165375.1	30S ribosomal protein S16
	 WP_165059973.1	30S ribosomal protein S16
	 WP_113808290.1	30S ribosomal protein S16
	 OQY14480.1	30S ribosomal protein S16
	 WP_069718752.1	30S ribosomal protein S16
	 WP_025228701.1	30S ribosomal protein S16
	 WP_124727620.1	30S ribosomal protein S16
	 KXK07982.1	30S ribosomal protein S16
	 OGV37606.1	30S ribosomal protein S16
	 WP_138196694.1	30S ribosomal protein S16
	 PID75100.1	30S ribosomal protein S16
	 KAF0125167.1	small subunit ribosomal protein S16
	 OGY24468.1	30S ribosomal protein S16
	 WP_028264297.1	30S ribosomal protein S16
	 WP_121680294.1	30S ribosomal protein S16
	 KAA0226200.1	30S ribosomal protein S16
	 PIU69082.1	30S ribosomal protein S16
	 KKS90373.1	30S ribosomal protein S16
	 WP_123208282.1	30S ribosomal protein S16
	 TMM13717.1	30S ribosomal protein S16
	 WP_066169959.1	30S ribosomal protein S16
	 WP_039232120.1	30S ribosomal protein S16
	 AMB98952.1	30S ribosomal protein S16
	 WP_073155695.1	30S ribosomal protein S16
	 OJF16652.1	30S ribosomal protein S16
	 OLA43506.1	30S ribosomal protein S16
	 CDD67296.1	30S ribosomal protein S16
	 PYI93900.1	30S ribosomal protein S16
	 TDI95160.1	30S ribosomal protein S16
	 OGY31575.1	30S ribosomal protein S16
	 OFW67049.1	30S ribosomal protein S16
	 WP_148940209.1	30S ribosomal protein S16
	 WP_037974868.1	30S ribosomal protein S16
	 WP_059282575.1	30S ribosomal protein S16
	 PWM50528.1	30S ribosomal protein S16
	 PWL79278.1	30S ribosomal protein S16
	 WP_004833375.1	30S ribosomal protein S16
	 TML43040.1	30S ribosomal protein S16
	 CAE79963.1	30S ribosomal protein S16
	 PCI74299.1	30S ribosomal protein S16
	 OGS45707.1	30S ribosomal protein S16
	 WP_131926246.1	30S ribosomal protein S16
	 WP_133579265.1	30S ribosomal protein S16
	 RLT24847.1	30S ribosomal protein S16
	 WP_138268652.1	30S ribosomal protein S16
	 OLC57890.1	30S ribosomal protein S16
	 RIK01245.1	30S ribosomal protein S16
	 CDE95131.1	30S ribosomal protein S16
	 WP_004825655.1	30S ribosomal protein S16
	 WP_012798235.1	30S ribosomal protein S16
	 WP_040929193.1	30S ribosomal protein S16
	 WP_066264727.1	30S ribosomal protein S16
	 KAF0152636.1	30S ribosomal protein S16
	 TMM01378.1	30S ribosomal protein S16
	 KKP25998.1	30S ribosomal protein S16
	 RKX69606.1	30S ribosomal protein S16
	 WP_013708724.1	30S ribosomal protein S16
	 CBL28405.1	SSU ribosomal protein S16P
	 WP_072905433.1	30S ribosomal protein S16
	 WP_075276635.1	30S ribosomal protein S16
	 RKU28277.1	30S ribosomal protein S16
	 KKP35793.1	30S ribosomal protein S16
	 PYQ11330.1	30S ribosomal protein S16
	 WP_021939059.1	30S ribosomal protein S16
	 WP_092478850.1	30S ribosomal protein S16
	 WP_008344841.1	30S ribosomal protein S16
	 WP_013047954.1	30S ribosomal protein S16
	 TMC83627.1	30S ribosomal protein S16
	 WP_173112690.1	30S ribosomal protein S16
	 PIE57062.1	30S ribosomal protein S16
	 OGO26177.1	30S ribosomal protein S16
	 PZR60355.1	30S ribosomal protein S16
	 WP_077309632.1	30S ribosomal protein S16
	 WP_165199467.1	30S ribosomal protein S16
	 WP_119015224.1	30S ribosomal protein S16
	 TSA29764.1	30S ribosomal protein S16
	 WP_119067949.1	30S ribosomal protein S16
	 OGF52861.1	30S ribosomal protein S16
	 OQA89718.1	30S ribosomal protein S16
	 WP_023387858.1	30S ribosomal protein S16
	 PZR62574.1	30S ribosomal protein S16
	 PSH03670.1	30S ribosomal protein S16
	 PSL51165.1	SSU ribosomal protein S16P
	 WP_003322054.1	30S ribosomal protein S16
	 WP_076556694.1	30S ribosomal protein S16
	 OQC43022.1	30S ribosomal protein S16
	 OGR58987.1	30S ribosomal protein S16
	 OGC16052.1	30S ribosomal protein S16
	 WP_044642605.1	30S ribosomal protein S16
	 OQB21462.1	30S ribosomal protein S16
	 WP_109430893.1	30S ribosomal protein S16
	 WP_027889695.1	30S ribosomal protein S16
	 TMK87269.1	30S ribosomal protein S16
	 WP_091790859.1	30S ribosomal protein S16
	 WP_066661774.1	30S ribosomal protein S16
	 PLS75804.1	30S ribosomal protein S16
	 PKQ28810.1	30S ribosomal protein S16
	 TME15660.1	30S ribosomal protein S16
	 WP_135346904.1	30S ribosomal protein S16
	 OQB15767.1	30S ribosomal protein S16
	 PZM91783.1	30S ribosomal protein S16
	 KKT84963.1	30S ribosomal protein S16
	 WP_088005903.1	30S ribosomal protein S16
	 OQY91746.1	30S ribosomal protein S16
	 WP_165044301.1	30S ribosomal protein S16
	 PWL41572.1	30S ribosomal protein S16
	 OQX29577.1	30S ribosomal protein S16
	 WP_124791569.1	30S ribosomal protein S16
	 PWM34105.1	30S ribosomal protein S16
	 WP_133451945.1	30S ribosomal protein S16
	 WP_077598001.1	30S ribosomal protein S16
	 WP_033022953.1	30S ribosomal protein S16
	 WP_116552984.1	30S ribosomal protein S16
	 WP_155111252.1	30S ribosomal protein S16
	 PJE67291.1	30S ribosomal protein S16
	 CDE39194.1	30S ribosomal protein S16

 ### Family: 110 -> NAD-dependent epimerase/dehydratase family protein

	 WP_015230636.1	NAD-dependent epimerase/dehydratase family protein
	 WP_041393425.1	NAD-dependent epimerase/dehydratase family protein
	 BAG05581.1	dTDP-glucose 4%2C6-dehydratase
	 WP_194014226.1	dTDP-glucose 4%2C6-dehydratase
	 OGV37607.1	NAD-dependent dehydratase

 ### Family: 112 -> KH domain-containing protein

	 WP_015230632.1	KH domain-containing protein
	 WP_024544479.1	KH domain-containing protein
	 WP_036482472.1	KH domain-containing protein
	 AFY67793.1	hypothetical protein
	 WP_069790862.1	KH domain-containing protein
	 PSP15035.1	RNA-binding protein
	 WP_015166536.1	KH domain-containing protein
	 WP_030007129.1	KH domain-containing protein
	 AXY68227.1	KH domain-containing protein
	 WP_072620600.1	KH domain-containing protein
	 PZD71832.1	hypothetical protein
	 WP_075889505.1	KH domain-containing protein
	 WP_015126244.1	KH domain-containing protein
	 WP_022606389.1	KH domain-containing protein
	 TVQ19912.1	KH domain-containing protein
	 WP_169613988.1	KH domain-containing protein
	 WP_019500117.1	KH domain-containing protein
	 WP_023172072.1	KH domain-containing protein
	 QFZ91840.1	KH domain-containing protein
	 PZV10928.1	KH domain-containing protein
	 AIE75570.1	KH domain RNA binding protein YlqC
	 OUC15092.1	hypothetical protein
	 WP_166274714.1	KH domain-containing protein
	 WP_080808153.1	KH domain-containing protein
	 WP_071591932.1	KH domain-containing protein
	 WP_121967814.1	KH domain-containing protein
	 TVQ43653.1	KH domain-containing protein
	 CDM93748.1	conserved protein of unknown function
	 WP_006455717.1	KH domain-containing protein
	 WP_071455489.1	KH domain-containing protein
	 WP_011431089.1	KH domain-containing protein
	 PKQ17359.1	hypothetical protein
	 WP_148133815.1	KH domain-containing protein
	 OUM88402.1	hypothetical protein
	 KAF0208088.1	RNA-binding protein
	 PCI38739.1	RNA-binding protein
	 WP_036816310.1	KH domain-containing protein
	 WP_166626503.1	KH domain-containing protein
	 KQC14147.1	RNA-binding protein
	 WP_008520911.1	KH domain-containing protein
	 PSP17127.1	RNA-binding protein
	 WP_020156288.1	KH domain-containing protein
	 WP_067774034.1	KH domain-containing protein
	 WP_088243775.1	KH domain-containing protein
	 WP_040554050.1	KH domain-containing protein
	 BAZ39800.1	hypothetical protein
	 WP_096691558.1	KH domain-containing protein
	 WP_015200940.1	KH domain-containing protein
	 WP_015116529.1	KH domain-containing protein
	 OLP20417.1	KH domain-containing protein
	 KST67722.1	RNA-binding protein
	 WP_015144817.1	KH domain-containing protein
	 WP_071102121.1	KH domain-containing protein
	 RMG07956.1	KH domain-containing protein
	 WP_068817853.1	KH domain-containing protein
	 KOR37720.1	hypothetical protein
	 WP_015192774.1	KH domain-containing protein
	 WP_013322190.1	KH domain-containing protein
	 WP_069967886.1	KH domain-containing protein
	 WP_068390409.1	KH domain-containing protein
	 WP_106258366.1	KH domain-containing protein
	 WP_162425297.1	KH domain-containing protein
	 WP_073607616.1	KH domain-containing protein
	 EDX73328.1	hypothetical protein
	 RNJ67070.1	KH domain-containing protein
	 WP_168571633.1	KH domain-containing protein
	 AFY81343.1	putative RNA-binding protein (contains KH domain)
	 WP_006511796.1	KH domain-containing protein
	 WP_106287117.1	KH domain-containing protein
	 PZV25621.1	RNA-binding protein
	 WP_012954188.1	KH domain-containing protein
	 WP_161825902.1	KH domain-containing protein
	 WP_015224605.1	KH domain-containing protein
	 WP_017304341.1	KH domain-containing protein
	 BAG05582.1	RNA-binding protein like
	 WP_006528479.1	KH domain-containing protein
	 WP_104397532.1	KH domain-containing protein
	 WP_146296165.1	KH domain-containing protein
	 WP_019504521.1	KH domain-containing protein
	 WP_124972497.1	KH domain-containing protein
	 WP_017295263.1	KH domain-containing protein
	 WP_107671288.1	KH domain-containing protein
	 OKH36044.1	hypothetical protein
	 WP_144868371.1	KH domain-containing protein
	 ERT09159.1	KH domain protein
	 WP_015218062.1	KH domain-containing protein
	 WP_040228095.1	KH domain-containing protein
	 WP_046510790.1	KH domain-containing protein
	 OGS05586.1	hypothetical protein
	 WP_084053921.1	KH domain-containing protein
	 PKO07036.1	RNA-binding protein
	 TAK21487.1	KH domain-containing protein
	 WP_049671448.1	KH domain-containing protein
	 WP_029165374.1	KH domain-containing protein
	 WP_165059976.1	KH domain-containing protein
	 WP_113808291.1	KH domain-containing protein
	 OQY14477.1	RNA-binding protein
	 WP_069718753.1	KH domain-containing protein
	 WP_025228702.1	KH domain-containing protein
	 WP_168722522.1	KH domain-containing protein
	 WP_124727619.1	KH domain-containing protein
	 KXK07983.1	hypothetical protein
	 OGV37652.1	hypothetical protein
	 WP_138196693.1	KH domain-containing protein
	 PID75101.1	RNA-binding protein
	 KAF0125168.1	KH domain-containing protein
	 OGY24467.1	hypothetical protein
	 KZD15133.1	hypothetical protein
	 WP_028264296.1	KH domain-containing protein
	 WP_121680293.1	KH domain-containing protein
	 KAA0226199.1	KH domain-containing protein
	 PIU69083.1	RNA-binding protein
	 KKS90374.1	hypothetical protein
	 WP_123208283.1	KH domain-containing protein
	 TMM13716.1	KH domain-containing protein
	 WP_027366251.1	KH domain-containing protein
	 WP_066169962.1	KH domain-containing protein
	 WP_039232122.1	KH domain-containing protein
	 AMB98951.1	RNA-binding protein
	 WP_089722705.1	KH domain-containing protein
	 OJF16653.1	hypothetical protein
	 WP_095041880.1	KH domain-containing protein
	 OLA43507.1	RNA-binding protein
	 CDD67297.1	uPF0109 protein Elen_1379
	 PYI93902.1	hypothetical protein
	 TDI95161.1	KH domain-containing protein
	 OGY31576.1	hypothetical protein
	 OFW67048.1	hypothetical protein
	 WP_148940207.1	KH domain-containing protein
	 WP_037974870.1	KH domain-containing protein
	 WP_059350745.1	KH domain-containing protein
	 PWM50527.1	KH domain-containing protein
	 PWL79277.1	KH domain-containing protein
	 WP_009372714.1	KH domain-containing protein
	 TML43051.1	KH domain-containing protein
	 CAE79962.1	hypothetical protein
	 TSA16903.1	KH domain-containing protein
	 PCI74298.1	RNA-binding protein
	 OGS45708.1	hypothetical protein
	 WP_131926248.1	KH domain-containing protein
	 WP_133579266.1	KH domain-containing protein
	 RLT24846.1	KH domain-containing protein
	 WP_138268653.1	KH domain-containing protein
	 KAA0243134.1	KH domain-containing protein
	 WP_084057338.1	KH domain-containing protein
	 OLC57891.1	hypothetical protein
	 RIK01244.1	RNA-binding protein
	 RJR47606.1	KH domain-containing protein
	 CDE95132.1	uPF0109 protein HMPREF9402_2339
	 WP_004825665.1	KH domain-containing protein
	 CBL06223.1	Predicted RNA-binding protein (contains KH domain)
	 WP_012798236.1	KH domain-containing protein
	 WP_070710341.1	KH domain-containing protein
	 WP_066264726.1	KH domain-containing protein
	 KAF0152635.1	nucleic acid binding protein
	 TMM01377.1	KH domain-containing protein
	 KKP25997.1	hypothetical protein
	 RKX69607.1	KH domain-containing protein
	 WP_041739193.1	KH domain-containing protein
	 WP_093393933.1	KH domain-containing protein
	 CBL28406.1	Predicted RNA-binding protein (contains KH domain)
	 WP_091351128.1	KH domain-containing protein
	 WP_075276636.1	KH domain-containing protein
	 RKU28278.1	RNA-binding protein
	 KKP35792.1	hypothetical protein
	 PYQ11329.1	RNA-binding protein
	 WP_021939060.1	KH domain-containing protein
	 WP_092478849.1	KH domain-containing protein
	 WP_099680534.1	KH domain-containing protein
	 WP_041459500.1	KH domain-containing protein
	 WP_020370739.1	KH domain-containing protein
	 TMC83628.1	KH domain-containing protein
	 WP_173112693.1	KH domain-containing protein
	 PIE57019.1	RNA-binding protein
	 OGO26176.1	RNA-binding protein
	 PZR60529.1	RNA-binding protein
	 WP_097040384.1	KH domain-containing protein
	 WP_165199465.1	KH domain-containing protein
	 WP_119015225.1	KH domain-containing protein
	 TSA29763.1	KH domain-containing protein
	 WP_119067951.1	KH domain-containing protein
	 OGF52896.1	hypothetical protein
	 OQA89719.1	hypothetical protein
	 WP_023387859.1	KH domain-containing protein
	 PZR62573.1	RNA-binding protein
	 PSH03671.1	RNA-binding protein
	 PSL51166.1	RNA-binding protein with KH domain
	 WP_003322053.1	KH domain-containing protein
	 WP_076556693.1	KH domain-containing protein
	 OQC43023.1	hypothetical protein
	 OGR58986.1	hypothetical protein
	 OGC16053.1	hypothetical protein
	 WP_044642606.1	KH domain-containing protein
	 OQB21461.1	hypothetical protein
	 WP_109430894.1	KH domain-containing protein
	 WP_027889696.1	KH domain-containing protein
	 TMK87268.1	KH domain-containing protein
	 WP_091790858.1	KH domain-containing protein
	 WP_066661777.1	KH domain-containing protein
	 KPJ79156.1	RNA-binding protein
	 PLS75815.1	RNA-binding protein
	 PKQ28811.1	RNA-binding protein
	 TME15659.1	KH domain-containing protein
	 WP_135346905.1	KH domain-containing protein
	 OQB15766.1	hypothetical protein
	 WP_155303092.1	KH domain-containing protein
	 PZM91784.1	RNA-binding protein
	 KKT84964.1	hypothetical protein
	 WP_088005904.1	KH domain-containing protein
	 OQY91747.1	hypothetical protein
	 WP_165044303.1	KH domain-containing protein
	 PWL41573.1	RNA-binding protein
	 WP_012861499.1	KH domain-containing protein
	 OQX29578.1	RNA-binding protein
	 WP_124791567.1	KH domain-containing protein
	 PWM34106.1	RNA-binding protein
	 WP_133451944.1	KH domain-containing protein
	 WP_097677401.1	KH domain-containing protein
	 WP_033023251.1	KH domain-containing protein
	 WP_116552985.1	KH domain-containing protein
	 WP_155111253.1	KH domain-containing protein
	 GAK55151.1	hypothetical protein
	 PJE67290.1	RNA-binding protein
	 CDE39195.1	uPF0109 protein HMPREF9402_2339
	 PID79571.1	RNA-binding protein
	 PKN53458.1	RNA-binding protein

 ### Family: 10000 -> pseudogene

	 EKO22_05040	pseudogene
	 S7335_RS28925	pseudogene
	 DCMF_RS29570	pseudogene
	 CALSC_RS27695	pseudogene
	 D6728_15585	pseudogene
	 CYAN7822_RS39395	pseudogene
	 GS597_RS13035	pseudogene
	 A3G41_04745	pseudogene
	 AO396_06695	pseudogene
	 CFX0092_RS22970	pseudogene
	 A2Y74_00605	pseudogene
	 A2Y74_00600	pseudogene
	 A2Y74_00575	pseudogene
	 JS73_RS03430	pseudogene
	 Q75_RS06000	pseudogene
	 E6G27_02450	pseudogene
	 COB28_01820	pseudogene
	 COB28_01810	pseudogene
	 DWI30_00430	pseudogene
	 E6G10_13225	pseudogene
	 DMH00_08540	pseudogene
	 A2Z21_04150	pseudogene
	 A2X36_00880	pseudogene
	 B0D92_02980	pseudogene
	 GKZ89_RS04775	pseudogene
	 COU95_03200	pseudogene
